,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Qualifiers
262,ADSGn.DE,20151001,07:00:24.689,2,Quote,,,,,,72.86,622,TRADE [GV1_TEXT];   [PRC_QL2]
263,ADSGn.DE,20151001,07:00:24.719,2,Quote,,,,,,72.86,719,TRADE [GV1_TEXT];   [PRC_QL2]
264,ADSGn.DE,20151001,07:00:24.759,2,Quote,,,,,,72.86,695,TRADE [GV1_TEXT];   [PRC_QL2]
265,ADSGn.DE,20151001,07:00:24.789,2,Quote,,,,,,72.86,749,TRADE [GV1_TEXT];   [PRC_QL2]
266,ADSGn.DE,20151001,07:00:25.358,2,Quote,,,,72.7,2321,,,TRADE [GV1_TEXT];   [PRC_QL2]
267,ADSGn.DE,20151001,07:00:25.358,2,Trade,,72.7,1014,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
268,ADSGn.DE,20151001,07:00:25.358,2,Quote,,,,72.69,209,,,TRADE [GV1_TEXT];   [PRC_QL2]
269,ADSGn.DE,20151001,07:00:25.369,2,Trade,,72.7,2321,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
270,ADSGn.DE,20151001,07:00:25.369,2,Quote,,,,72.68,162,,,TRADE [GV1_TEXT];   [PRC_QL2]
271,ADSGn.DE,20151001,07:00:25.369,2,Quote,,,,,,72.69,209,TRADE [GV1_TEXT];   [PRC_QL2]
272,ADSGn.DE,20151001,07:00:25.369,2,Quote,,,,72.54,183,72.68,162,TRADE [GV1_TEXT];   [PRC_QL2]
273,ADSGn.DE,20151001,07:00:25.369,2,Trade,,72.68,162,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
274,ADSGn.DE,20151001,07:00:25.389,2,Quote,,,,,,72.69,162,TRADE [GV1_TEXT];   [PRC_QL2]
275,ADSGn.DE,20151001,07:00:25.389,2,Trade,,72.68,162,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
276,ADSGn.DE,20151001,07:00:25.389,2,Trade,,72.69,47,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
277,ADSGn.DE,20151001,07:00:25.409,2,Quote,,,,,,72.68,283,TRADE [GV1_TEXT];   [PRC_QL2]
278,ADSGn.DE,20151001,07:00:25.449,2,Quote,,,,,,72.68,305,TRADE [GV1_TEXT];   [PRC_QL2]
279,ADSGn.DE,20151001,07:00:25.479,2,Quote,,,,,,72.68,320,TRADE [GV1_TEXT];   [PRC_QL2]
280,ADSGn.DE,20151001,07:00:25.608,2,Quote,,,,72.54,96,,,TRADE [GV1_TEXT];   [PRC_QL2]
281,ADSGn.DE,20151001,07:00:25.619,2,Quote,,,,72.53,209,,,TRADE [GV1_TEXT];   [PRC_QL2]
282,ADSGn.DE,20151001,07:00:25.619,2,Quote,,,,72.48,1199,,,TRADE [GV1_TEXT];   [PRC_QL2]
283,ADSGn.DE,20151001,07:00:25.629,2,Quote,,,,,,72.69,699,TRADE [GV1_TEXT];   [PRC_QL2]
284,ADSGn.DE,20151001,07:00:25.629,2,Quote,,,,,,72.69,490,TRADE [GV1_TEXT];   [PRC_QL2]
285,ADSGn.DE,20151001,07:00:25.688,2,Quote,,,,,,72.69,453,TRADE [GV1_TEXT];   [PRC_QL2]
286,ADSGn.DE,20151001,07:00:25.858,2,Quote,,,,,,72.69,490,TRADE [GV1_TEXT];   [PRC_QL2]
287,ADSGn.DE,20151001,07:00:26.438,2,Quote,,,,,,72.69,328,TRADE [GV1_TEXT];   [PRC_QL2]
288,ADSGn.DE,20151001,07:00:26.438,2,Quote,,,,72.48,511,,,TRADE [GV1_TEXT];   [PRC_QL2]
289,ADSGn.DE,20151001,07:00:26.438,2,Quote,,,,72.48,607,,,TRADE [GV1_TEXT];   [PRC_QL2]
290,ADSGn.DE,20151001,07:00:26.469,2,Quote,,,,,,72.7,555,TRADE [GV1_TEXT];   [PRC_QL2]
291,ADSGn.DE,20151001,07:00:26.469,2,Quote,,,,,,72.7,346,TRADE [GV1_TEXT];   [PRC_QL2]
292,ADSGn.DE,20151001,07:00:26.509,2,Quote,,,,,,72.76,502,TRADE [GV1_TEXT];   [PRC_QL2]
293,ADSGn.DE,20151001,07:00:26.509,2,Quote,,,,,,72.75,136,TRADE [GV1_TEXT];   [PRC_QL2]
294,ADSGn.DE,20151001,07:00:26.688,2,Quote,,,,,,72.74,96,TRADE [GV1_TEXT];   [PRC_QL2]
295,ADSGn.DE,20151001,07:00:26.719,2,Quote,,,,,,72.74,442,TRADE [GV1_TEXT];   [PRC_QL2]
296,ADSGn.DE,20151001,07:00:26.938,2,Quote,,,,,,72.73,96,TRADE [GV1_TEXT];   [PRC_QL2]
297,ADSGn.DE,20151001,07:00:26.999,2,Quote,,,,,,72.73,360,TRADE [GV1_TEXT];   [PRC_QL2]
298,ADSGn.DE,20151001,07:00:27.188,2,Quote,,,,,,72.72,96,TRADE [GV1_TEXT];   [PRC_QL2]
299,ADSGn.DE,20151001,07:00:27.228,2,Quote,,,,,,72.72,222,TRADE [GV1_TEXT];   [PRC_QL2]
300,ADSGn.DE,20151001,07:00:27.228,2,Quote,,,,,,72.72,336,TRADE [GV1_TEXT];   [PRC_QL2]
301,ADSGn.DE,20151001,07:00:27.438,2,Quote,,,,,,72.71,96,TRADE [GV1_TEXT];   [PRC_QL2]
302,ADSGn.DE,20151001,07:00:27.739,2,Quote,,,,,,72.71,269,TRADE [GV1_TEXT];   [PRC_QL2]
303,ADSGn.DE,20151001,07:00:27.739,2,Quote,,,,,,72.7,96,TRADE [GV1_TEXT];   [PRC_QL2]
304,ADSGn.DE,20151001,07:00:27.879,2,Quote,,,,,,72.69,136,TRADE [GV1_TEXT];   [PRC_QL2]
305,ADSGn.DE,20151001,07:00:28.188,2,Quote,,,,,,72.69,205,TRADE [GV1_TEXT];   [PRC_QL2]
306,ADSGn.DE,20151001,07:00:28.239,2,Quote,,,,,,72.69,303,TRADE [GV1_TEXT];   [PRC_QL2]
307,ADSGn.DE,20151001,07:00:28.759,2,Quote,,,,,,72.69,363,TRADE [GV1_TEXT];   [PRC_QL2]
308,ADSGn.DE,20151001,07:00:29.108,2,Quote,,,,,,72.69,459,TRADE [GV1_TEXT];   [PRC_QL2]
309,ADSGn.DE,20151001,07:00:29.148,2,Quote,,,,,,72.69,563,TRADE [GV1_TEXT];   [PRC_QL2]
310,ADSGn.DE,20151001,07:00:29.259,2,Quote,,,,72.48,511,,,TRADE [GV1_TEXT];   [PRC_QL2]
311,ADSGn.DE,20151001,07:00:29.309,2,Quote,,,,72.48,607,,,TRADE [GV1_TEXT];   [PRC_QL2]
312,ADSGn.DE,20151001,07:00:29.819,2,Quote,,,,,,72.69,857,TRADE [GV1_TEXT];   [PRC_QL2]
313,ADSGn.DE,20151001,07:00:29.819,2,Quote,,,,72.48,511,,,TRADE [GV1_TEXT];   [PRC_QL2]
